campaign_touch_id,customer_id,touch_date,campaign_name,touch_channel,delivered,opened,clicked,converted,spend
CAMP00001,CUST17570,2025-04-18T00:00:00,Summer Sale,SMS,1,0,0,0,3.75
CAMP00002,CUST11646,2026-02-20T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,2.57
CAMP00003,CUST19883,2024-10-15T00:00:00,Retention Plus,Ads,1,0,0,0,6.9
CAMP00004,CUST22005,2026-01-26T00:00:00,Spring Growth,Push,1,0,0,0,7.48
CAMP00005,CUST21354,2025-05-07T00:00:00,Winback,Push,1,0,0,0,4.94
CAMP00006,CUST13352,2024-01-27T00:00:00,Retention Plus,Ads,1,1,0,0,1.92
CAMP00007,CUST23072,2025-09-01T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,6.22
CAMP00008,CUST23181,2024-02-22T00:00:00,Festive Burst,SMS,1,0,0,0,6.24
CAMP00009,CUST15334,2024-08-24T00:00:00,Winback,SMS,1,1,1,0,2.56
CAMP00010,CUST15227,2026-04-14T00:00:00,Summer Sale,Email,1,1,0,0,5.44
CAMP00011,CUST19883,2024-02-20T00:00:00,Retention Plus,Push,1,0,0,0,1.44
CAMP00012,CUST07786,2026-07-30T00:00:00,Festive Burst,SMS,1,0,0,0,1.47
CAMP00013,CUST00353,2024-05-15T00:00:00,Retention Plus,Ads,1,0,0,0,0.75
CAMP00014,CUST17026,2024-01-21T00:00:00,Spring Growth,SMS,1,0,0,0,1.44
CAMP00015,CUST01396,2024-10-08T00:00:00,Summer Sale,Ads,1,0,0,0,1.28
CAMP00016,CUST00191,2024-06-08T00:00:00,Summer Sale,SMS,1,1,1,0,4.3
CAMP00017,CUST18253,2026-06-15T00:00:00,Winback,Ads,1,1,0,0,3.54
CAMP00018,CUST11887,2024-04-03T00:00:00,Summer Sale,SMS,1,0,0,0,6.41
CAMP00019,CUST11575,2025-07-30T00:00:00,Winback,Push,1,0,0,0,7.12
CAMP00020,CUST09617,2025-10-23T00:00:00,Festive Burst,SMS,1,0,0,0,6.68
CAMP00021,CUST17930,2026-05-18T00:00:00,Winback,Email,1,1,0,0,3.53
CAMP00022,CUST04965,2025-08-03T00:00:00,Spring Growth,Email,1,1,1,0,1.89
CAMP00023,CUST15479,2025-03-31T00:00:00,Spring Growth,SMS,1,0,0,0,2.83
CAMP00024,CUST22635,2024-07-20T00:00:00,Cross-Sell Boost,Email,1,1,1,0,5.62
CAMP00025,CUST14582,2026-02-24T00:00:00,Winback,SMS,1,0,0,0,6.3
CAMP00026,CUST20583,2024-01-25T00:00:00,Retention Plus,Email,1,1,0,0,2.14
CAMP00027,CUST15241,2026-05-12T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,3.3
CAMP00028,CUST17959,2026-06-11T00:00:00,Cross-Sell Boost,Push,1,1,0,0,4.28
CAMP00029,CUST15010,2025-08-09T00:00:00,Spring Growth,Push,0,0,0,0,1.56
CAMP00030,CUST23590,2026-02-01T00:00:00,Winback,SMS,1,0,0,0,0.6
CAMP00031,CUST03523,2025-06-11T00:00:00,Winback,Email,1,0,0,0,0.37
CAMP00032,CUST02060,2025-01-09T00:00:00,Festive Burst,Email,1,1,0,0,1.62
CAMP00033,CUST16411,2025-04-14T00:00:00,Festive Burst,Ads,1,0,0,0,1.64
CAMP00034,CUST21169,2026-04-23T00:00:00,Spring Growth,Email,1,1,0,0,1.35
CAMP00035,CUST16291,2026-03-28T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,5.72
CAMP00036,CUST06721,2026-01-19T00:00:00,Spring Growth,SMS,1,0,0,0,1.42
CAMP00037,CUST11804,2025-01-05T00:00:00,Spring Growth,Push,1,0,0,0,6.85
CAMP00038,CUST11127,2026-05-13T00:00:00,Spring Growth,SMS,1,0,0,0,0.79
CAMP00039,CUST02417,2026-01-24T00:00:00,Festive Burst,Email,1,0,0,0,2.96
CAMP00040,CUST01555,2025-11-07T00:00:00,Festive Burst,SMS,1,0,0,0,0.21
CAMP00041,CUST09748,2025-10-26T00:00:00,Summer Sale,Ads,0,0,0,0,0.36
CAMP00042,CUST01834,2025-11-26T00:00:00,Summer Sale,Push,1,0,0,0,4.36
CAMP00043,CUST17803,2024-01-04T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,0.92
CAMP00044,CUST23699,2025-06-14T00:00:00,Spring Growth,Ads,1,0,0,0,1.96
CAMP00045,CUST21280,2025-09-04T00:00:00,Winback,SMS,1,1,1,0,3.96
CAMP00046,CUST08918,2025-02-01T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,6.6
CAMP00047,CUST01347,2024-09-20T00:00:00,Retention Plus,Push,1,0,0,0,6.74
CAMP00048,CUST15425,2024-05-02T00:00:00,Spring Growth,SMS,1,0,0,0,7.19
CAMP00049,CUST05357,2024-11-25T00:00:00,Winback,Ads,1,1,0,0,5.51
CAMP00050,CUST22196,2025-10-12T00:00:00,Spring Growth,Push,1,1,0,0,3.29
CAMP00051,CUST22276,2024-01-10T00:00:00,Cross-Sell Boost,SMS,1,1,0,0,4.76
CAMP00052,CUST08681,2025-12-21T00:00:00,Festive Burst,Push,1,0,0,0,5.36
CAMP00053,CUST16838,2025-10-20T00:00:00,Cross-Sell Boost,Email,1,1,0,0,7.04
CAMP00054,CUST08567,2026-07-14T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,4.42
CAMP00055,CUST10237,2024-09-03T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,7.42
