order_item_id,order_id,product_id,quantity,unit_price,discount_pct,discount_amount,net_line_sales
OI0000001,O0000001,P1081,1,362.25,1.64,5.94,356.31
OI0000002,O0000002,P0942,1,927.61,22.74,210.94,716.67
OI0000003,O0000003,P0397,1,41.55,8.54,3.55,38.0
OI0000004,O0000004,P0788,4,920.4,13.65,502.54,3179.06
OI0000005,O0000004,P1136,3,91.94,2.13,5.87,269.95
OI0000006,O0000005,P0976,3,613.06,15.78,290.22,1548.96
OI0000007,O0000005,P1493,1,1155.72,0,0.0,1155.72
OI0000008,O0000005,P0061,1,750.87,8.08,60.67,690.2
OI0000009,O0000006,P0146,1,957.19,12.37,118.4,838.79
OI0000010,O0000006,P0129,1,1313.16,11.46,150.49,1162.67
OI0000011,O0000006,P0208,2,1149.2,8.32,191.23,2107.17
OI0000012,O0000007,P0306,3,562.49,2.49,42.02,1645.45
OI0000013,O0000007,P0891,1,617.03,6.64,40.97,576.06
OI0000014,O0000007,P0465,1,1217.74,18.51,225.4,992.34
OI0000015,O0000007,P0710,1,401.19,8.04,32.26,368.93
OI0000016,O0000008,P0440,1,1022.87,9.87,100.96,921.91
OI0000017,O0000009,P1145,1,1391.92,9.71,135.16,1256.76
OI0000018,O0000009,P0437,2,622.8,3.62,45.09,1200.51
OI0000019,O0000009,P1114,1,877.36,13.61,119.41,757.95
OI0000020,O0000010,P0648,1,168.06,1.36,2.29,165.77
OI0000021,O0000010,P0751,4,592.56,8.98,212.85,2157.39
OI0000022,O0000010,P0173,1,1418.02,12.98,184.06,1233.96
OI0000023,O0000010,P0397,2,41.55,0,0.0,83.1
OI0000024,O0000011,P0437,1,622.8,15.67,97.59,525.21
OI0000025,O0000011,P0163,1,419.7,14.96,62.79,356.91
OI0000026,O0000012,P1092,2,755.51,0,0.0,1511.02
OI0000027,O0000012,P0628,1,238.15,4.86,11.57,226.58
OI0000028,O0000013,P0439,1,381.36,0,0.0,381.36
OI0000029,O0000013,P0732,4,101.08,3.74,15.12,389.2
OI0000030,O0000014,P1296,3,334.25,7.92,79.42,923.33
OI0000031,O0000015,P1486,2,198.5,5.12,20.33,376.67
OI0000032,O0000015,P0976,1,613.06,4.83,29.61,583.45
OI0000033,O0000016,P0953,1,304.22,8.44,25.68,278.54
OI0000034,O0000017,P0018,1,262.23,0,0.0,262.23
OI0000035,O0000017,P1169,1,763.1,8.5,64.86,698.24
OI0000036,O0000018,P1458,1,1024.33,13.08,133.98,890.35
OI0000037,O0000018,P0506,3,50.47,11.46,17.35,134.06
OI0000038,O0000019,P1141,1,743.38,4.31,32.04,711.34
OI0000039,O0000020,P1181,1,1048.84,12.26,128.59,920.25
