order_id,customer_id,order_datetime,order_status,sales_channel,payment_method,item_count,gross_sales,net_sales,shipping_fee,order_total,delivery_days
O0000001,CUST24082,2024-12-24 20:27:22,Completed,Email,COD,1,362.25,356.31,149,505.31,3
O0000002,CUST22794,2024-01-06 16:12:10,Completed,Paid Search,Card,1,927.61,716.67,79,795.67,7
O0000003,CUST09075,2025-12-30 01:55:00,Completed,Paid Search,UPI,1,41.55,38.0,49,87.0,1
O0000004,CUST16512,2025-05-24 03:13:21,Completed,Referral,Wallet,2,3957.42,3449.01,149,3598.01,4
O0000005,CUST10738,2025-04-12 03:43:48,Cancelled,Paid Search,COD,3,3745.77,3394.88,79,3473.88,3
O0000006,CUST08255,2024-01-14 14:45:57,Completed,Social,COD,3,4568.75,4108.63,49,4157.63,5
O0000007,CUST08519,2024-04-05 01:25:41,Completed,Email,Card,4,3923.43,3582.78,99,3681.78,6
O0000008,CUST24744,2025-02-18 00:54:40,Completed,Social,Card,1,1022.87,921.91,99,1020.91,1
O0000009,CUST12721,2024-10-31 04:46:02,Completed,Paid Search,Card,3,3514.88,3215.23,79,3294.23,3
O0000010,CUST02793,2026-04-10 16:43:26,Completed,Social,Wallet,4,4039.42,3640.23,149,3789.23,6
O0000011,CUST15951,2024-06-16 20:32:35,Completed,Organic,Card,2,1042.5,882.12,99,981.12,1
O0000012,CUST18058,2025-08-01 21:29:27,Completed,Referral,Wallet,2,1749.17,1737.6,49,1786.6,7
O0000013,CUST06663,2025-04-25 03:50:17,Completed,Social,Wallet,2,785.68,770.56,49,819.56,4
O0000014,CUST16798,2025-02-05 23:27:35,Returned,Referral,NetBanking,1,1002.75,923.33,149,1072.33,5
O0000015,CUST14569,2025-11-25 06:47:27,Completed,Referral,Card,2,1010.06,960.12,99,1059.12,4
O0000016,CUST24143,2024-03-03 22:44:23,Cancelled,Social,NetBanking,1,304.22,278.54,0,278.54,1
O0000017,CUST10277,2025-08-26 06:05:20,Completed,Referral,NetBanking,2,1025.33,960.47,149,1109.47,5
O0000018,CUST04144,2025-10-04 04:23:16,Completed,Partner,NetBanking,2,1175.74,1024.41,149,1173.41,5
O0000019,CUST23056,2024-07-08 17:21:03,Completed,Referral,UPI,1,743.38,711.34,0,711.34,2
O0000020,CUST11182,2025-12-01 12:14:14,Completed,Email,Card,4,4205.28,3535.66,0,3535.66,6
O0000021,CUST10947,2026-01-11 01:16:12,Pending,Partner,COD,1,1176.57,1163.75,149,1312.75,3
O0000022,CUST18645,2025-08-10 13:46:45,Completed,Referral,NetBanking,1,2714.18,2341.25,49,2390.25,2
O0000023,CUST24160,2025-12-26 22:35:55,Completed,Partner,Card,1,1359.29,1195.9,99,1294.9,5
O0000024,CUST12358,2024-02-08 11:00:19,Completed,Email,NetBanking,1,3860.34,3520.24,79,3599.24,4
O0000025,CUST24675,2025-06-09 23:54:06,Returned,Social,UPI,1,454.65,401.91,0,401.91,6
O0000026,CUST22662,2025-10-24 08:40:40,Completed,Paid Search,COD,2,1464.62,1278.13,149,1427.13,7
O0000027,CUST03025,2024-08-31 04:24:03,Completed,Email,Card,1,2122.74,1854.0,149,2003.0,4
O0000028,CUST10822,2026-08-10 20:30:34,Completed,Paid Search,NetBanking,1,448.73,423.78,49,472.78,6
O0000029,CUST07016,2026-07-26 17:45:18,Completed,Partner,Wallet,1,1277.13,1067.68,149,1216.68,5
O0000030,CUST01526,2024-10-22 22:29:30,Completed,Email,Wallet,1,664.94,606.89,79,685.89,4
O0000031,CUST18098,2026-04-04 16:40:29,Completed,Paid Search,UPI,3,1417.38,1128.35,149,1277.35,3
O0000032,CUST10130,2024-10-23 16:53:29,Completed,Organic,Card,1,622.8,600.32,79,679.32,5
O0000033,CUST15639,2025-01-31 01:47:42,Completed,Email,Wallet,4,4658.43,4308.61,99,4407.61,3
O0000034,CUST14764,2024-09-02 06:20:56,Completed,Email,UPI,2,4091.07,3105.93,79,3184.93,2
O0000035,CUST19949,2024-05-22 23:55:24,Completed,Social,Card,2,1365.28,1261.82,149,1410.82,4
O0000036,CUST22889,2025-08-08 08:44:22,Completed,Referral,COD,2,1270.13,1173.23,149,1322.23,8
O0000037,CUST08189,2025-10-30 17:33:49,Completed,Referral,NetBanking,2,1449.71,1297.36,79,1376.36,5
O0000038,CUST03216,2025-04-09 20:38:18,Completed,Organic,Card,1,1128.94,986.92,149,1135.92,6
O0000039,CUST08862,2025-07-10 15:13:49,Completed,Email,UPI,1,1047.52,924.33,49,973.33,5
O0000040,CUST15933,2024-03-06 03:40:50,Completed,Paid Search,COD,1,2452.86,2213.71,149,2362.71,2
O0000041,CUST14917,2026-02-15 06:20:31,Pending,Social,NetBanking,1,840.43,840.43,99,939.43,5
O0000042,CUST24040,2024-11-15 09:19:35,Returned,Partner,UPI,1,842.36,666.81,149,815.81,1
O0000043,CUST04384,2024-02-27 01:17:37,Completed,Organic,NetBanking,1,343.77,286.5,149,435.5,5
O0000044,CUST15895,2026-07-09 01:35:58,Pending,Social,UPI,2,2824.29,2333.75,49,2382.75,3
O0000045,CUST17018,2025-07-09 23:18:26,Completed,Social,COD,2,1998.84,1865.99,149,2014.99,7
O0000046,CUST05846,2025-01-25 15:13:54,Completed,Social,Card,1,1034.65,819.13,99,918.13,4
O0000047,CUST08311,2026-03-01 16:48:26,Completed,Organic,COD,1,1945.46,1700.72,0,1700.72,2
O0000048,CUST08618,2025-05-02 19:25:38,Completed,Organic,COD,1,3799.92,3601.56,149,3750.56,1
O0000049,CUST24998,2025-02-10 17:49:44,Completed,Referral,UPI,1,256.09,240.9,79,319.9,5
O0000050,CUST19775,2024-02-18 10:14:06,Completed,Social,NetBanking,1,1648.96,1648.96,149,1797.96,4
O0000051,CUST01557,2026-02-22 03:10:22,Completed,Email,Wallet,1,1061.37,943.45,49,992.45,7
O0000052,CUST00559,2024-10-21 16:24:07,Completed,Referral,Card,1,176.86,171.87,99,270.87,5
O0000053,CUST05170,2024-07-10 10:52:45,Completed,Partner,NetBanking,2,404.01,372.63,49,421.63,3
O0000054,CUST18994,2024-05-31 13:50:44,Completed,Referral,COD,1,1400.48,1109.6,149,1258.6,4
O0000055,CUST16983,2025-11-27 23:36:07,Returned,Email,UPI,1,266.72,252.64,99,351.64,7
O0000056,CUST16986,2024-11-08 08:14:37,Completed,Partner,NetBanking,1,466.99,406.89,99,505.89,3
O0000057,CUST23822,2026-06-29 15:25:55,Completed,Social,NetBanking,2,1512.33,1318.68,79,1397.68,4
O0000058,CUST12901,2024-05-24 05:39:55,Completed,Email,Card,4,5462.73,4740.97,0,4740.97,1
O0000059,CUST16703,2026-07-16 00:07:44,Completed,Organic,Wallet,2,4239.18,3744.67,49,3793.67,1
O0000060,CUST04744,2025-03-19 14:52:10,Completed,Email,Wallet,2,1403.58,1321.57,79,1400.57,3
O0000061,CUST13619,2026-03-08 01:42:40,Completed,Social,NetBanking,2,1401.25,1262.47,99,1361.47,3
O0000062,CUST20405,2025-08-04 13:49:59,Completed,Social,Wallet,1,1340.59,1241.39,49,1290.39,7
O0000063,CUST07193,2024-09-22 21:33:52,Returned,Organic,Wallet,1,257.11,249.83,149,398.83,3
O0000064,CUST08241,2024-05-02 15:47:56,Completed,Partner,NetBanking,1,296.82,270.22,99,369.22,2
O0000065,CUST14918,2024-06-16 08:44:10,Returned,Paid Search,UPI,4,3567.8,3170.67,49,3219.67,3
O0000066,CUST13537,2026-08-25 20:28:26,Completed,Email,UPI,3,4948.67,4060.71,149,4209.71,2
O0000067,CUST22228,2024-11-12 18:17:26,Completed,Referral,COD,3,2484.67,2358.18,79,2437.18,1
O0000068,CUST12299,2025-12-30 11:48:57,Cancelled,Organic,UPI,1,395.8,353.41,149,502.41,4
O0000069,CUST06202,2025-04-23 07:39:49,Completed,Referral,NetBanking,3,3758.34,3515.61,79,3594.61,3
O0000070,CUST12070,2025-04-08 09:03:39,Completed,Social,NetBanking,2,6070.98,4899.45,0,4899.45,6
O0000071,CUST15711,2024-01-27 03:53:28,Completed,Partner,Card,1,29.22,27.63,149,176.63,5
O0000072,CUST13862,2026-06-26 18:16:32,Completed,Email,UPI,2,1774.15,1659.56,0,1659.56,4
O0000073,CUST23793,2024-07-13 16:21:43,Completed,Paid Search,NetBanking,3,2350.51,2102.98,99,2201.98,3
O0000074,CUST08912,2024-05-02 20:20:43,Completed,Social,Card,1,754.41,634.16,149,783.16,2
O0000075,CUST15181,2024-01-05 21:06:07,Completed,Email,COD,4,4145.37,3847.57,79,3926.57,1
O0000076,CUST11350,2024-12-30 03:01:06,Cancelled,Referral,Card,2,1665.32,1489.63,49,1538.63,6
O0000077,CUST06507,2025-10-16 06:10:49,Completed,Social,COD,4,5962.36,5542.1,79,5621.1,3
O0000078,CUST11679,2024-06-23 12:31:02,Pending,Partner,Wallet,2,5754.22,5114.27,0,5114.27,6
