payment_id,order_id,payment_datetime,payment_method,amount,payment_status
PAY0000001,O0000001,2024-12-24 20:27:22,COD,505.31,Paid
PAY0000002,O0000002,2024-01-06 16:12:10,Card,795.67,Paid
PAY0000003,O0000003,2025-12-30 01:55:00,UPI,87.0,Paid
PAY0000004,O0000004,2025-05-24 03:13:21,Wallet,3598.01,Paid
PAY0000005,O0000005,2025-04-12 03:43:48,COD,3473.88,Pending
PAY0000006,O0000006,2024-01-14 14:45:57,COD,4157.63,Paid
PAY0000007,O0000007,2024-04-05 01:25:41,Card,3681.78,Paid
PAY0000008,O0000008,2025-02-18 00:54:40,Card,1020.91,Paid
PAY0000009,O0000009,2024-10-31 04:46:02,Card,3294.23,Paid
PAY0000010,O0000010,2026-04-10 16:43:26,Wallet,3789.23,Paid
PAY0000011,O0000011,2024-06-16 20:32:35,Card,981.12,Paid
PAY0000012,O0000012,2025-08-01 21:29:27,Wallet,1786.6,Paid
PAY0000013,O0000013,2025-04-25 03:50:17,Wallet,819.56,Paid
PAY0000014,O0000014,2025-02-05 23:27:35,NetBanking,1072.33,Paid
PAY0000015,O0000015,2025-11-25 06:47:27,Card,1059.12,Paid
PAY0000016,O0000016,2024-03-03 22:44:23,NetBanking,278.54,Failed
PAY0000017,O0000017,2025-08-26 06:05:20,NetBanking,1109.47,Paid
PAY0000018,O0000018,2025-10-04 04:23:16,NetBanking,1173.41,Paid
PAY0000019,O0000019,2024-07-08 17:21:03,UPI,711.34,Paid
PAY0000020,O0000020,2025-12-01 12:14:14,Card,3535.66,Paid
PAY0000021,O0000021,2026-01-11 01:16:12,COD,1312.75,Failed
PAY0000022,O0000022,2025-08-10 13:46:45,NetBanking,2390.25,Paid
PAY0000023,O0000023,2025-12-26 22:35:55,Card,1294.9,Paid
PAY0000024,O0000024,2024-02-08 11:00:19,NetBanking,3599.24,Paid
PAY0000025,O0000025,2025-06-09 23:54:06,UPI,401.91,Paid
PAY0000026,O0000026,2025-10-24 08:40:40,COD,1427.13,Paid
PAY0000027,O0000027,2024-08-31 04:24:03,Card,2003.0,Paid
PAY0000028,O0000028,2026-08-10 20:30:34,NetBanking,472.78,Paid
PAY0000029,O0000029,2026-07-26 17:45:18,Wallet,1216.68,Paid
PAY0000030,O0000030,2024-10-22 22:29:30,Wallet,685.89,Paid
PAY0000031,O0000031,2026-04-04 16:40:29,UPI,1277.35,Paid
PAY0000032,O0000032,2024-10-23 16:53:29,Card,679.32,Paid
PAY0000033,O0000033,2025-01-31 01:47:42,Wallet,4407.61,Paid
PAY0000034,O0000034,2024-09-02 06:20:56,UPI,3184.93,Paid
PAY0000035,O0000035,2024-05-22 23:55:24,Card,1410.82,Paid
PAY0000036,O0000036,2025-08-08 08:44:22,COD,1322.23,Paid
