return_id,order_id,product_id,return_reason,refund_amount,return_date
R000001,O0000014,P1296,Changed Mind,923.33,2025-02-23
R000002,O0000042,P0533,Changed Mind,666.81,2024-11-24
R000003,O0000055,P0592,Defective,252.64,2025-12-09
R000004,O0000065,P1297,Late Delivery,949.6,2024-07-02
R000005,O0000065,P0106,Wrong Item,1299.7,2024-06-22
R000006,O0000065,P1477,Wrong Item,572.94,2024-07-01
R000007,O0000065,P0122,Wrong Item,348.43,2024-06-23
R000008,O0000094,P0890,Defective,127.82,2025-12-04
R000009,O0000111,P0104,Changed Mind,1565.2,2025-07-23
R000010,O0000115,P0537,Defective,3703.23,2025-01-08
R000011,O0000167,P1164,Late Delivery,1766.59,2024-06-13
R000012,O0000167,P1284,Changed Mind,1349.7,2024-06-23
R000013,O0000183,P0403,Defective,18.15,2025-03-16
R000014,O0000191,P1400,Defective,1177.94,2026-01-09
R000015,O0000193,P0638,Defective,2190.07,2025-09-12
R000016,O0000197,P0638,Late Delivery,961.41,2025-11-02
R000017,O0000201,P0500,Changed Mind,493.72,2025-03-16
R000018,O0000201,P1461,Wrong Item,1053.58,2025-03-15
R000019,O0000201,P0984,Defective,1244.05,2025-03-20
R000020,O0000202,P0540,Late Delivery,968.42,2025-09-28
R000021,O0000218,P0554,Defective,1468.69,2025-07-29
R000022,O0000226,P1294,Changed Mind,1505.0,2025-10-14
R000023,O0000226,P1052,Late Delivery,103.78,2025-10-05
R000024,O0000226,P0287,Late Delivery,2306.17,2025-10-02
R000025,O0000234,P0506,Changed Mind,50.47,2024-07-06
R000026,O0000272,P1296,Late Delivery,572.1,2024-12-04
R000027,O0000286,P0215,Wrong Item,1061.03,2024-07-24
R000028,O0000286,P0783,Wrong Item,1105.39,2024-07-28
R000029,O0000332,P0408,Changed Mind,2593.52,2025-08-12
R000030,O0000332,P1179,Late Delivery,691.59,2025-08-07
R000031,O0000332,P0070,Changed Mind,658.77,2025-08-05
R000032,O0000332,P0071,Late Delivery,113.89,2025-08-07
R000033,O0000414,P0125,Wrong Item,1700.53,2024-08-22
R000034,O0000416,P0268,Late Delivery,137.16,2026-03-08
R000035,O0000428,P0983,Defective,1013.76,2026-06-07
R000036,O0000431,P0657,Defective,682.68,2026-07-15
R000037,O0000431,P0610,Defective,2357.03,2026-07-06
R000038,O0000446,P0005,Late Delivery,639.23,2026-05-27
R000039,O0000447,P0220,Defective,729.89,2025-10-29
R000040,O0000494,P0295,Defective,321.12,2025-09-11
R000041,O0000497,P0636,Late Delivery,4940.56,2025-02-12
R000042,O0000511,P0418,Late Delivery,1341.62,2026-08-02
R000043,O0000511,P1209,Late Delivery,782.77,2026-08-11
R000044,O0000511,P0741,Late Delivery,1429.26,2026-08-19
R000045,O0000531,P1448,Wrong Item,624.56,2024-05-04
R000046,O0000531,P0484,Changed Mind,748.06,2024-05-08
R000047,O0000572,P1293,Late Delivery,1892.71,2024-12-06
R000048,O0000572,P1383,Late Delivery,1618.72,2024-12-12
R000049,O0000582,P0335,Wrong Item,1488.6,2024-06-03
R000050,O0000598,P0213,Wrong Item,1532.14,2026-04-02
R000051,O0000620,P0404,Late Delivery,457.93,2024-04-09
R000052,O0000625,P0947,Changed Mind,127.75,2026-01-30
R000053,O0000625,P1139,Defective,228.29,2026-02-11
R000054,O0000673,P0474,Defective,1130.19,2025-01-31
R000055,O0000673,P0365,Wrong Item,332.15,2025-02-02
R000056,O0000675,P0780,Late Delivery,331.77,2024-05-20
R000057,O0000687,P0336,Late Delivery,38.93,2024-10-18
R000058,O0000690,P0380,Defective,254.06,2026-08-30
R000059,O0000732,P0838,Late Delivery,132.04,2025-09-26
R000060,O0000737,P0382,Wrong Item,284.58,2025-11-15
R000061,O0000753,P0084,Defective,701.71,2024-01-16
R000062,O0000755,P0939,Wrong Item,710.63,2025-03-28
R000063,O0000760,P1444,Defective,295.74,2025-07-08
R000064,O0000776,P0895,Changed Mind,590.52,2025-08-18
R000065,O0000799,P0152,Wrong Item,1193.23,2025-08-09
R000066,O0000800,P0765,Wrong Item,143.93,2024-05-17
R000067,O0000802,P0193,Defective,912.46,2024-08-28
R000068,O0000802,P1463,Defective,1106.85,2024-08-15
R000069,O0000802,P0153,Changed Mind,847.91,2024-08-10
R000070,O0000802,P0526,Defective,2387.48,2024-08-11
R000071,O0000822,P0259,Defective,2810.82,2024-02-01
R000072,O0000837,P0043,Defective,903.82,2024-10-10
R000073,O0000837,P0464,Wrong Item,946.56,2024-10-14
R000074,O0000842,P0523,Changed Mind,969.5,2024-06-24
R000075,O0000842,P0501,Defective,110.75,2024-07-09
R000076,O0000868,P1163,Late Delivery,1118.2,2026-06-30
R000077,O0000868,P1147,Wrong Item,86.24,2026-06-24
R000078,O0000875,P0607,Late Delivery,750.14,2025-03-15
R000079,O0000892,P0540,Late Delivery,1040.14,2024-10-25
R000080,O0000900,P1054,Changed Mind,182.71,2025-01-28
R000081,O0000900,P1367,Wrong Item,1529.29,2025-02-03
R000082,O0000906,P0378,Wrong Item,302.1,2024-04-28
R000083,O0000925,P0950,Wrong Item,883.09,2025-06-09
R000084,O0000926,P0631,Late Delivery,618.73,2025-03-22
R000085,O0000937,P1290,Changed Mind,181.61,2025-05-18
R000086,O0000937,P1444,Changed Mind,265.47,2025-05-17
R000087,O0000937,P0110,Defective,1192.41,2025-05-12
R000088,O0000961,P1035,Late Delivery,543.47,2024-03-08
R000089,O0000961,P1401,Defective,1640.79,2024-03-11
R000090,O0000968,P1497,Changed Mind,2383.59,2025-09-08
R000091,O0000982,P0824,Wrong Item,17.8,2025-01-24
R000092,O0000982,P0845,Changed Mind,306.02,2025-01-20
R000093,O0000982,P0947,Wrong Item,341.48,2025-02-01
R000094,O0000989,P1347,Changed Mind,815.12,2026-05-22
R000095,O0000996,P0489,Late Delivery,572.97,2025-09-29
R000096,O0001019,P0285,Changed Mind,80.16,2025-03-17
R000097,O0001023,P0674,Wrong Item,637.33,2025-04-24
R000098,O0001031,P0372,Late Delivery,953.04,2024-04-03
R000099,O0001040,P0539,Defective,617.81,2025-06-26
R000100,O0001040,P0256,Changed Mind,844.91,2025-07-03
R000101,O0001045,P0095,Changed Mind,423.15,2024-09-26
R000102,O0001045,P0346,Defective,725.37,2024-09-28
R000103,O0001062,P0073,Late Delivery,3825.48,2026-06-07
R000104,O0001062,P0897,Late Delivery,2012.21,2026-06-01
R000105,O0001075,P1448,Wrong Item,589.42,2026-05-19
R000106,O0001086,P0556,Wrong Item,836.91,2026-04-05
R000107,O0001100,P1345,Late Delivery,983.63,2024-11-17
R000108,O0001100,P0893,Defective,523.08,2024-11-20
R000109,O0001113,P1011,Defective,2317.38,2024-02-18
R000110,O0001113,P0723,Defective,884.3,2024-02-21
R000111,O0001119,P0884,Late Delivery,678.37,2024-12-25
R000112,O0001132,P1430,Late Delivery,32.62,2025-12-25
R000113,O0001153,P0216,Wrong Item,939.72,2026-04-11
R000114,O0001160,P0281,Defective,608.59,2024-01-29
R000115,O0001172,P0914,Defective,1103.32,2024-04-17
R000116,O0001172,P0455,Changed Mind,877.84,2024-04-06
R000117,O0001177,P1400,Defective,526.1,2026-01-25
R000118,O0001177,P0796,Late Delivery,433.47,2026-02-10
R000119,O0001195,P1085,Defective,1170.42,2024-12-20
R000120,O0001207,P0699,Defective,1042.04,2025-12-03
R000121,O0001227,P0371,Defective,209.81,2026-08-19
R000122,O0001227,P1319,Late Delivery,590.79,2026-08-21
R000123,O0001227,P1170,Changed Mind,2112.36,2026-08-22
R000124,O0001227,P0114,Defective,227.18,2026-08-21
R000125,O0001237,P0670,Changed Mind,1066.39,2024-10-22
R000126,O0001237,P0360,Changed Mind,1651.36,2024-11-04
R000127,O0001238,P0176,Late Delivery,1213.75,2025-01-16
R000128,O0001243,P0822,Wrong Item,250.49,2024-05-31
R000129,O0001243,P0680,Defective,469.31,2024-05-18
R000130,O0001273,P0259,Changed Mind,1057.29,2025-08-19
R000131,O0001273,P0211,Late Delivery,705.37,2025-08-21
R000132,O0001283,P0658,Late Delivery,489.9,2024-04-24
R000133,O0001290,P0409,Wrong Item,2047.25,2024-09-03
R000134,O0001314,P0667,Late Delivery,174.81,2026-05-20
R000135,O0001325,P0185,Defective,640.32,2025-04-01
R000136,O0001330,P0965,Wrong Item,1246.81,2025-10-10
R000137,O0001330,P0465,Changed Mind,865.33,2025-10-13
R000138,O0001330,P0129,Changed Mind,3458.47,2025-10-22
R000139,O0001339,P0789,Late Delivery,1174.66,2025-03-14
R000140,O0001339,P0080,Wrong Item,729.23,2025-03-13
R000141,O0001340,P1272,Wrong Item,551.66,2025-07-08
R000142,O0001340,P1298,Wrong Item,1212.91,2025-07-13
R000143,O0001340,P0483,Late Delivery,279.35,2025-06-26
R000144,O0001347,P1432,Defective,601.57,2026-07-05
R000145,O0001347,P1083,Changed Mind,812.08,2026-07-19
R000146,O0001349,P0680,Wrong Item,480.43,2024-02-25
R000147,O0001356,P0923,Late Delivery,3101.21,2024-06-19
R000148,O0001396,P0044,Wrong Item,1391.47,2024-09-02
R000149,O0001421,P0579,Changed Mind,956.84,2025-12-28
R000150,O0001463,P0011,Changed Mind,827.94,2026-03-13
